metrics:,ochiai,ochiai2,tarantula,barinel,opt,dstar,meco,sgf_1,sgf_2,fo1,fo2,fo3,fo4,fo5,fo6,fo7,fo8,fo9,fo10,fo12,fo13,fo14,fo15,fo16,fo17,fo19,fo20,fo21,fo22
Math-59,1,1,1,1,1,2231,2231,1,1,1959,1,212,715,608,2566,1,1,2879,2879,98,2879,2879,920,98,1,921,920,2164,2776
Math-60,995,995,995,995,556,1303,993,1332,1332,856,1332,81,81,1332,856,858,1332,1893,1905,78,1905,1011,1476,78,96,1332,1476,1910,1908
Math-61,0,0,0,0,0,1738,1738,0,0,1707,0,0,524,0,2099,0,0,2302,2302,100,2302,2302,595,100,0,595,595,1778,2199
Math-62,14,14,14,14,14,14,14,14,14,1794,1,629,795,308,2085,14,1,2235,1619,629,1619,2235,457,629,14,459,457,1454,1619
Math-63,0,0,0,0,0,1188,1188,0,0,1764,0,0,652,0,1765,0,0,1767,1561,108,1561,1767,3,108,0,2,3,1126,1670
Math-64,201,201,202,202,201,201,202,201,201,33,208,109,109,36,33,33,208,125,125,109,125,115,115,109,109,115,115,125,125
Math-65,8,8,8,8,8,47,47,8,8,3245,4,306,1682,221,3457,8,4,585,574,151,574,350,350,151,8,350,350,574,574
Math-66,71,71,75,75,25,26,25,71,25,656,53,25,77,2,656,76,77,1287,641,142,895,402,475,114,25,297,487,577,1291
Math-67,21,21,21,21,21,574,502,21,21,185,22,62,56,291,184,21,22,535,530,2,530,422,424,2,21,426,424,478,589
Math-68,126,126,127,127,126,126,126,126,126,96,126,188,184,1,97,96,126,76,71,184,76,69,65,184,312,69,66,82,76
Math-69,3,3,3,3,3,2,2,3,3,3083,11,1686,2536,171,3251,3084,11,3322,905,2267,1058,242,241,2420,7,241,241,789,1639
Math-70,0,0,0,0,0,125,125,0,0,152,0,0,55,0,178,0,0,181,181,1,181,181,29,1,0,29,29,126,179
