metrics:	ochiai	ochiai2	tarantula	barinel	opt	dstar	meco	sgf_1	sgf_2	fo1	fo2	fo3	fo4	fo5	fo6	fo7	fo8	fo9	fo10	fo12	fo13	fo14	fo15	fo16	fo17	fo19	fo20	fo21	fo22	
Math-95	6	6	6	6	6	6	6	6	6	359	2	135	155	65	420	360	2	448	313	135	313	89	93	135	6	89	93	294	313	
Math-96	5	5	5	5	5	5	5	5	5	119	14	116	117	11	114	118	14	13	12	116	12	10	11	116	115	10	11	11	12	
Math-97	19	19	19	19	25	19	19	19	19	195	25	177	177	24	191	195	25	72	48	177	48	30	29	177	150	30	29	48	48	
Math-98	10	10	10	10	10	10	10	10	10	914	5	474	542	35	946	914	5	957	491	474	491	46	48	474	6	46	48	424	491	
Math-99	4	4	4	4	27	4	4	4	23	289	2	27	172	24	289	4	2	13	31	15	31	24	1	15	4	24	1	31	31	
Math-100	14	14	14	14	14	14	14	14	14	19	13	65	65	158	19	23	13	387	369	65	369	227	230	65	13	227	230	345	369	
Math-101	9	9	9	9	9	9	9	9	9	108	35	95	113	3	88	113	35	50	28	99	42	34	33	107	86	28	33	34	52	
Math-102	14	16	20	21	15	15	15	14	14	881	14	14	813	41	904	880	15	924	152	613	322	54	190	786	15	55	191	126	922	
Math-103	12	12	12	12	12	11	11	12	12	173	12	111	120	45	202	173	12	133	126	111	126	64	64	111	104	64	64	117	126	
Math-104	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-2.0	C-2.0	C-1.0	C-2.0	C-2.0	C-2.0	C-1.0	C-1.0	C-2.0	C-2.0	C-2.0	C-2.0	
Math-105	2	67	2	2	2	2	2	2	67	68	2	28	68	2	68	2	2	68	34	28	34	68	1	28	2	2	1	2	34	
Math-106	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-4.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	
