metrics:	ochiai	ochiai2	tarantula	barinel	opt	dstar	meco	sgf_1	sgf_2	fo1	fo2	fo3	fo4	fo5	fo6	fo7	fo8	fo9	fo10	fo12	fo13	fo14	fo15	fo16	fo17	fo19	fo20	fo21	fo22	
Jsoup-36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Jsoup-54	C-3.0	C-3.0	C-3.0	C-3.0	C-3.0	C-2.0	C-2.0	C-3.0	C-3.0	C-1.0	C-3.0	C-1.0	C-1.0	C-1.0	C-1.0	C-2.0	C-3.0	C-278.0	C-279.0	C-1.0	C-279.0	C-119.0	C-119.0	C-1.0	C-3.0	C-119.0	C-119.0	C-277.0	C-279.0	
Jsoup-55	C-108.0	C-108.0	C-108.0	C-108.0	C-108.0	C-108.0	C-106.0	C-108.0	C-107.0	C-1.0	C-39.0	C-1.0	C-1.0	C-2.0	C-1.0	C-2.0	C-39.0	C-154.0	C-151.0	C-1.0	C-151.0	C-75.0	C-73.0	C-1.0	C-2.0	C-75.0	C-73.0	C-151.0	C-151.0	
Jsoup-56	2.0	2.0	2.0	2.0	14.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	6.0	2.0	2.0	2.0	2.0	254.0	251.0	3.0	251.0	99.0	87.0	3.0	2.0	99.0	87.0	249.0	251.0	
Jsoup-57	2.0	2.0	2.0	2.0	14.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	6.0	2.0	2.0	2.0	2.0	284.0	281.0	3.0	281.0	128.0	127.0	3.0	2.0	127.0	127.0	280.0	281.0	
Jsoup-58	1.0	1.0	2.0	2.0	12.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	6.0	2.0	2.0	1.0	2.0	350.0	346.0	3.0	349.0	235.0	235.0	3.0	1.0	227.0	233.0	341.0	348.0	
Jsoup-59	C-53.0	C-65.0	C-60.0	C-64.0	C-27.0	C-55.0	C-78.0	C-53.0	C-64.0	C-1.0	C-33.0	C-6.0	C-5.0	C-2.0	C-1.0	C-4.0	C-33.0	C-76.0	C-78.0	C-6.0	C-78.0	C-25.0	C-35.0	C-5.0	C-8.0	C-25.0	C-35.0	C-78.0	C-78.0	
Jsoup-60	8.0	8.0	14.0	17.0	4.0	8.0	26.0	8.0	3.0	38.0	11.0	74.0	78.0	2.0	3.0	38.0	11.0	9.0	5.0	76.0	5.0	5.0	26.0	76.0	72.0	5.0	27.0	5.0	8.0	
Jsoup-61	3.0	3.0	6.0	6.0	13.0	3.0	2.0	3.0	2.0	41.0	4.0	34.0	47.0	2.0	3.0	40.0	4.0	279.0	266.0	38.0	270.0	130.0	165.0	41.0	29.0	129.0	165.0	262.0	274.0	
Jsoup-62	C-75.0	C-64.0	C-74.0	C-64.0	C-75.0	C-75.0	C-64.0	C-75.0	C-64.0	C-1.0	C-73.0	C-17.0	C-18.0	C-2.0	C-1.0	C-2.0	C-73.0	C-16.0	C-3.0	C-17.0	C-3.0	C-13.0	C-3.0	C-17.0	C-18.0	C-14.0	C-3.0	C-3.0	C-3.0	
Jsoup-63	11.0	11.0	15.0	20.0	18.0	8.0	7.0	11.0	6.0	1.0	13.0	15.0	9.0	2.0	1.0	7.0	13.0	136.0	111.0	15.0	123.0	67.0	116.0	11.0	19.0	68.0	117.0	108.0	129.0	
Jsoup-64	8.0	8.0	8.0	8.0	19.0	7.0	7.0	8.0	7.0	10.0	9.0	20.0	30.0	2.0	3.0	10.0	9.0	276.0	266.0	23.0	268.0	128.0	128.0	25.0	17.0	128.0	128.0	261.0	272.0	
Jsoup-65	24.0	24.0	24.0	24.0	37.0	24.0	24.0	24.0	24.0	25.0	37.0	51.0	54.0	2.0	2.0	25.0	37.0	286.0	282.0	51.0	282.0	162.0	149.0	51.0	49.0	162.0	149.0	281.0	282.0	
Jsoup-66	7.0	7.0	7.0	7.0	20.0	7.0	7.0	7.0	7.0	8.0	8.0	14.0	17.0	2.0	2.0	8.0	8.0	144.0	147.0	14.0	147.0	101.0	89.0	14.0	12.0	101.0	89.0	147.0	147.0	
Jsoup-67	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	80.0	84.0	83.0	220.0	223.0	1.0	2.0	84.0	83.0	88.0	86.0	220.0	86.0	43.0	43.0	220.0	218.0	43.0	43.0	84.0	86.0	
Jsoup-68	1.0	1.0	1.0	1.0	1.0	43.0	43.0	1.0	1.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0	1.0	84.0	83.0	1.0	83.0	34.0	34.0	1.0	1.0	34.0	34.0	82.0	83.0	
Jsoup-69	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-291.0	C-289.0	C-1.0	C-289.0	C-156.0	C-156.0	C-1.0	C-1.0	C-156.0	C-156.0	C-287.0	C-289.0	
Jsoup-70	31.0	31.0	31.0	31.0	31.0	31.0	31.0	31.0	31.0	115.0	114.0	264.0	272.0	1.0	2.0	115.0	114.0	18.0	1.0	264.0	1.0	1.0	1.0	264.0	250.0	1.0	1.0	1.0	1.0	
Jsoup-71	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-1.0	C-5.0	C-8.0	C-1.0	C-8.0	C-8.0	C-57.0	C-1.0	C-1.0	C-8.0	C-57.0	C-8.0	C-8.0	
